seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Mid-Level,False,"Master’s degree (preferred) in CS, CE, ML or related field experience","['Python', 'C', 'C++']","['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Computer Vision', 'Anomaly Detection', 'Predictive Modeling']","['TensorFlow Lite', 'PyTorch', 'YOLOv8', 'MobileNetV2']",['Google Cloud Platform'],"['Design and implement real-time object detection, tracking, and classification solutions using machine learning and computer vision techniques.', 'Optimize models for real-time processing on various platforms, including edge devices, cloud-based systems, and embedded hardware, ensuring low-latency performance.', 'Develop and manage end-to-end machine learning pipelines to automate and optimize data curation, preprocessing, and model training workflows.', 'Design, develop, and deploy unsupervised machine learning models to identify anomalies and irregular patterns in system operations, data streams, or user behavior.']",['Retail']
Senior,False,"Master's degree or PhD in Physics, Computer Science, Statistics, Mathematics, or a related field",['Python'],"['Deep Learning', 'Statistical Modeling', 'Natural Language Processing', 'Computer Vision', 'Autonomous Systems', 'MLOps']","['TensorFlow', 'PyTorch', 'scikit-learn', 'pandas', 'NumPy', 'AFSIM']","['AWS', 'Azure', 'GCP']","['Architect, design, and implement scalable AI/ML computing infrastructures, applications, and systems.', 'Design, develop, and implement AI/ML algorithms and models for DoD applications.', 'Conduct data analysis and feature engineering to prepare data for model training and evaluation.', 'Collaborate with cross-functional teams to integrate AI/ML solutions into existing systems and workflows.']",['Defense']
Mid-Level,False,Not mentioned,"['Kotlin', 'Java']",['Generative AI'],"['Spring', 'Spring-Boot', 'Kafka', 'Flink', 'Cassandra', 'Redshift', 'BigQuery', 'Kubernetes', 'Docker']",['Not mentioned'],"['Develop backend software for customer insights and analytics', 'Collaborate with cross-functional teams to deliver high-quality applications', 'Automate processes and create tools for data pipeline infrastructure', 'Gather functional requirements and develop technical specifications']",['Finance']
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Speech Recognition']","['MongoDB', 'Twilio', 'Datadog', 'Snowflake', 'Omni']",['AWS'],"['Create user experiences and features for the Flip assistant', 'Oversee whole segments of the Flip assistant', 'Engage with data and customer feedback to shape product direction']","['E-commerce', 'Transportation']"
Senior,False,MS or PhD in a quantitative field or equivalent deep practical experience,['Python'],"['Predictive Modeling', 'Time Series Analysis', 'Anomaly Detection', 'Statistical Modeling']","['NumPy', 'pandas', 'scikit-learn', 'Git', 'Flask', 'Docker']",['AWS'],"['Lead the full lifecycle of core machine learning models from research to deployment', 'Conduct applied R&D projects to enhance model accuracy and develop novel predictive features', 'Collaborate with cross-functional teams to ensure data science solutions meet business needs', 'Uphold high standards for model performance and data integrity through rigorous validation']","['Agriculture', 'Environmental Science']"
Mid-Level,False,"Bachelor's degree in Computer Science, a similar technical field of study or equivalent practical experience. A PhD degree in Machine Learning or Deep Learning is a plus.","['Python', 'Golang', 'Java']","['Generative AI', 'Deep Learning', 'Recommendation Systems']","['TensorFlow', 'PyTorch']",['Not mentioned'],"['Design, build, and produce proprietary machine learning models to solve business challenges.', 'Leverage Generative AI techniques for dynamic Ad content generation.', 'Collaborate with product managers and engineers to frame machine learning problems.', 'Build and productionize machine learning models including data preparation/processing pipelines.']","['E-commerce', 'Advertising']"
Not mentioned,False,"M.S. or M.E. in Computer Science, Computer Engineering or similar preferred, or B.S. in Computer Science, Computer Engineering or similar","['Java', 'C', 'C++', 'MATLAB', 'Python', 'Bash']","['Predictive Modeling', 'Anomaly Detection', 'Supervised Learning']","['Git', 'Subversion']",['Not mentioned'],"['Develops real time and post processing algorithms for failure prediction of electrical and mechanical equipment.', 'Creates documentation to describe algorithm design.', 'Interfaces with other groups to create specifications that outline algorithm functions.', 'Evaluates alternative Machine Learning tools and models.']","['Manufacturing', 'Automotive']"
Mid-Level,False,"Bachelor's Degree in Analytics, Data Science, Statistics, Mathematics, Computer Science or a related field (Masters or PhD preferred)","['Python', 'SQL']","['Natural Language Processing', 'Deep Learning', 'MLOps']","['PyTorch', 'TensorFlow', 'JAX', 'Hugging Face Transformers', 'Git', 'SLURM']",['Google Cloud'],"['Configure and utilize on-premises SLURM cluster with GPU resources for model training.', 'Manage and optimize cloud-based infrastructures for distributed model training.', 'Collaborate with data scientists to implement and fine-tune LLMs for clinical NLP tasks.', 'Develop CI/CD workflows to automate model testing and deployment.']",['Healthcare']
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Deep Learning', 'Generative AI']",['Not mentioned'],['Not mentioned'],"['Develop and maintain key tooling for model evaluation', 'Collaborate closely with Applied Scientists to investigate and plan experiments', 'Manage project prioritization, deliverables, timelines, and stakeholder communication']",['Software and Cloud']
Not mentioned,False,"Bachelor’s in Computer Science, Machine Learning, or a related field",['Python'],"['Natural Language Processing', 'Deep Learning', 'MLOps']",['Not mentioned'],"['AWS', 'Azure', 'Google Cloud']","['Lead AI/ML strategy and implementation', 'Design, implement and deploy advanced RAG systems', 'Integrate AI/ML solutions into existing products and services', 'Spearhead research initiatives on state-of-the-art AI/ML algorithms']",['Construction']
Mid-Level,False,Not mentioned,"['Python', 'C++']","['Recommendation Systems', 'Deep Learning', 'Pattern Recognition']","['XGboost', 'TensorFlow', 'Caffe']",['Not mentioned'],"['Build and design large-scale machine learning algorithms to model real-time interests of creators', 'Optimize commodity relationship mining and ranking for product recommendations', 'Analyze behavior of creators and merchants to build targeted algorithm strategies', ""Support rapid development of TikTok's e-commerce business and explore efficient business models""]","['E-commerce', 'Social Media']"
Mid-Level,False,"B.S. in Computer Science, Computer Engineering, or related technical field",['Python'],"['Computer Vision', 'Anomaly Detection', 'Deep Learning']","['Tensorflow', 'PyTorch', 'Onyx', 'Git']",['Not mentioned'],"['Support customers and develop technical solutions for Brainchip’s Akida Neuromorphic RTL IP and Reference System-on-Chip.', 'Understand customer’s technical requirements and propose solutions.', 'Resolve customer issues with BrainChip’s software or hardware technology.', 'Collaborate with software and hardware development teams.']","['Consumer Electronics', 'Industrial Electronics']"
Senior,False,"Bachelor's degree - Required, Master's degree - Preferred","['Python', 'C++', 'Rust']","['MLOps', 'Deep Learning', 'Natural Language Processing']","['Kubeflow', 'Argo', 'MLFlow', 'PyTorch', 'scikit-learn', 'XGBoost', 'AutoGluon', 'CatBoost', 'TensorFlow', 'Keras', 'FastAPI']",['GCP'],"['Actively contribute to AI/MLOps development within assigned product team', 'Develop and maintain ML systems using platform capabilities', 'Implement robust CI/CD pipelines for ML models', 'Champion platform adoption within a team']",['Healthcare']
Not mentioned,False,Not mentioned,"['Python', 'Go', 'C']","['Natural Language Processing', 'Embedded ML']","['Docker', 'Kubernetes']",['AWS'],"['Design and deploy intuitive, user-friendly APIs.', 'Launch machine learning services leveraging LLMs, embeddings, and inference into production.', 'Handle and secure large-scale production data.', 'Develop secure data sharing middleware for national security and intelligence sectors.']","['Defense', 'Government']"
Not mentioned,False,"BS/MS degree in Computer Science, Computer Engineering, or other relevant majors","['Go', 'C', 'C++', 'Python']","['Deep Learning', 'Predictive Modeling', 'Recommendation Systems', 'Natural Language Processing']","['TensorFlow', 'PyTorch', 'MXNet', 'Spark']",['Not mentioned'],"['Build highly scalable machine learning systems and state-of-the-art machine learning models to improve ads ranking quality.', 'Explore, develop and experiment with new features to improve model accuracy.', 'Understand ads platform objectives and take full advantage of modern machine learning to improve ads relevance, quality, and quantity delivered to end-users.', 'Collaborate with Product Managers, Designers, and other disciplines to explore the next generation of shopping experiences on TikTok.']","['Advertising', 'Social Media']"
Mid-Level,False,MA/MS in Statistics/Data Science/Computer Science or related quantitative fields with specialization in data mining or machine learning techniques,"['Python', 'SQL', 'Go', 'Java']","['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Reinforcement Learning', 'Natural Language Processing', 'Recommendation Systems']","['Tensorflow', 'PyTorch', 'Django', 'Flask', 'Kubernetes', 'KubeFlow', 'Git', 'Bitbucket', 'Elasticsearch']",['Google Cloud Platform'],"['Craft and develop highly scalable and reliable machine learning solutions to improve user experience.', 'Overcome engineering challenges with deploying machine learning solutions at scale.', 'Investigate new ways machine learning can improve products and determine viability of solutions.', 'Deliver recommendations across Paramount and PlutoTV platforms that serve millions of customers daily.']",['Entertainment']
